;=== Measured signals to be read - MASTU diagnostics ===
P6L       SC  icoil     8  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/P6L         - ; 
D1U       SC  icoil     9  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D1U         - ; 
D1L       SC  icoil    10  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D1L         - ; 
D2U       SC  icoil    11  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D2U         - ; 
D2L       SC  icoil    12  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D2L         - ; 
D3U       SC  icoil    13  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D3U         - ; 
D3L       SC  icoil    14  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D3L         - ; 
DPU       SC  icoil    15  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/DPU         - ; 
DPL       SC  icoil    16  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/DPL         - ; 
D5U       SC  icoil    17  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D5U         - ; 
D5L       SC  icoil    18  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D5L         - ; 
D6U       SC  icoil    19  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D6U         - ; 
D6L       SC  icoil    20  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D6L         - ; 
D7U       SC  icoil    21  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D7U         - ; 
D7L       SC  icoil    22  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/D7L         - ; 
;
; (including case currents)
P4CU      SC  icoil    23  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/P4U       - ;
P4CL      SC  icoil    24  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/P4L       - ;
P5CU      SC  icoil    25  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/P5U       - ;
P5CL      SC  icoil    26  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/P5L       - ;
P6CU      SC  icoil    27  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/P6U       - ;
P6CL      SC  icoil    28  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/P6L       - ;
D1CU      SC  icoil    29  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D1U       - ; kA -> A
D1CL      SC  icoil    30  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D1L       - ;
D2CU      SC  icoil    31  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D2U       - ;
D2CL      SC  icoil    32  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D2L       - ;
D3CU      SC  icoil    33  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D3U       - ;
D3CL      SC  icoil    34  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D3L       - ;
DPCU      SC  icoil    35  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/DPU       - ;
DPCL      SC  icoil    36  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/DPL       - ;
D5CU      SC  icoil    37  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D5U       - ;
D5CL      SC  icoil    38  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D5L       - ;
D6CU      SC  icoil    39  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D6U       - ;
D6CL      SC  icoil    40  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D6L       - ;
D7CU      SC  icoil    41  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D7U       - ;
D7CL      SC  icoil    42  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/CASECURR/D7L       - ;
;
; Plasma current
IP1       PR  ip        1  -  y  0.010  10.0e3   50.0e3   y  1.0e3      1.0 1.0  1  2.1e-3   AMC/PLASMA_CURRENT     - ; kA -> A
;
; Toroidal field
TF1       TF  none      1  -  y  0.050  30.0     50.0     y  4.800e-6     1.0 1.0  -1  2.1e-3   AMC/ROGEXT/TF          - ; kA -> A ; Check -1
;
; Diamagnetic loop
; (the following is from MAST)
;FDIA      DL  dflux     1  e  n  0.04   0.004    0.004    y  1.0        1.0 1.0 -1  2.1e-3  \\FDIA                  -  ;(Wb) error was 2%, 2mWb
;
; Flux loops
;
F_NU_01   FL  tfl       1  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NU_01       - ; (Wb)
F_NU_02   FL  tfl       2  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NU_02       - ; 
F_NU_03   FL  tfl       3  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NU_03       - ; 
F_NU_04   FL  tfl       4  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NU_04       - ;
F_NU_a05  FL  tfl       5  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NU_A05      - ; 
F_NU_b05  FL  tfl       6  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NU_B05      - ; 
F_NU_06   FL  tfl       7  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NU_06       - ; Out
F_NL_01   FL  tfl       8  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NL_01       - ; 
F_NL_02   FL  tfl       9  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NL_02       - ; 
F_NL_03   FL  tfl      10  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NL_03       - ; 
F_NL_04   FL  tfl      11  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NL_04       - ; 
F_NL_a05  FL  tfl      12  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NL_A05      - ; 
F_NL_b05  FL  tfl      13  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NL_B05      - ; 
F_NL_06   FL  tfl      14  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_NL_06       - ; 
F_P6U_01  FL  tfl      15  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_P6U_01      - ; 
F_P6L_01  FL  tfl      16  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_P6L_01      - ; 
F_BU_01   FL  tfl      17  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_BU_01       - ; 
F_BU_02   FL  tfl      18  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_BU_02       - ; 
F_BU_03   FL  tfl      19  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_BU_03       - ; 
F_BU_04   FL  tfl      20  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_BU_04       - ; 
F_BL_01   FL  tfl      21  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_BL_01       - ; 
F_BL_02   FL  tfl      22  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_BL_02       - ; 
F_BL_03   FL  tfl      23  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_BL_03       - ; 
F_BL_04   FL  tfl      24  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_BL_04       - ; 
F_P5U_01  FL  tfl      25  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_P5U_01      - ; 
F_P5U_02  FL  tfl      26  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_P5U_02      - ; 
F_P5U_03  FL  tfl      27  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_P5U_03      - ; 
F_P5U_04  FL  tfl      28  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_P5U_04      - ; 
F_P5L_01  FL  tfl      29  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_P5L_01      - ; 
F_P5L_02  FL  tfl      30  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_P5L_02      - ; 
F_P5L_03  FL  tfl      31  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_P5L_03      - ; 
F_P5L_04  FL  tfl      32  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_P5L_04      - ; 
F_XU_01   FL  tfl      33  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XU_01       - ; Removed, per Dave Ryan's email, 11/09/20
F_XU_02   FL  tfl      34  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XU_02       - ; Removed, per Dave Ryan's email, 11/09/20
F_XU_03   FL  tfl      35  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XU_03       - ; 
F_XU_04   FL  tfl      36  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XU_04       - ; 
F_XU_05   FL  tfl      37  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XU_05       - ; 
F_XU_06   FL  tfl      38  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XU_06       - ; 
F_XU_07   FL  tfl      39  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XU_07       - ; 
F_XL_01   FL  tfl      40  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XL_01       - ; 
F_XL_02   FL  tfl      41  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XL_02       - ; Bad (Dave Ryan email 2/8/21)
F_XL_03   FL  tfl      42  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XL_03       - ; 
F_XL_04   FL  tfl      43  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XL_04       - ;  
F_XL_05   FL  tfl      44  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XL_05       - ; Out
F_XL_06   FL  tfl      45  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XL_06       - ; Bad (Dave Ryan email 2/8/21)
F_XL_07   FL  tfl      46  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_XL_07       - ; Bad (Dave Ryan email 2/8/21)
F_DPU_01  FL  tfl      47  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_DPU_01      - ; 
F_DPU_02  FL  tfl      48  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_DPU_02      - ; 
F_DPU_03  FL  tfl      49  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_DPU_03      - ; 
F_DPU_04  FL  tfl      50  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_DPU_04      - ; 
F_DPL_04  FL  tfl      51  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_DPL_04      - ; 
F_DPL_03  FL  tfl      52  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_DPL_03      - ;  
F_DPL_02  FL  tfl      53  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_DPL_02      - ; 
F_DPL_01  FL  tfl      54  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_DPL_01      - ; 
F_D3U_02  FL  tfl      55  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D3U_02      - ; 
F_D3U_03  FL  tfl      56  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D3U_03      - ; 
F_D3U_01  FL  tfl      57  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D3U_01      - ; 
F_D3U_04  FL  tfl      58  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D3U_04      - ; 
F_D3L_01  FL  tfl      59  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D3L_01      - ; 
F_D3L_02  FL  tfl      60  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D3L_02      - ; 
F_D3L_04  FL  tfl      61  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D3L_04      - ; 
F_D3L_03  FL  tfl      62  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D3L_03      - ; 
F_D2U_03  FL  tfl      63  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D2U_03      - ; 
F_D2U_02  FL  tfl      64  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D2U_02      - ; Bad (Dave Ryan email 2/8/21)
F_D2U_04  FL  tfl      65  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D2U_04      - ; 
F_D2U_01  FL  tfl      66  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D2U_01      - ; 
F_D2L_02  FL  tfl      67  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D2L_02      - ; 
F_D2L_01  FL  tfl      68  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D2L_01      - ; 
F_D2L_03  FL  tfl      69  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D2L_03      - ; 
F_D2L_04  FL  tfl      70  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D2L_04      - ; 
F_D1U_03  FL  tfl      71  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D1U_03      - ; Turned off when added because not sure what the status is 
F_D1U_02  FL  tfl      72  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D1U_02      - ; Turned off when added because not sure what the status is 

F_D1U_04  FL  tfl      73  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D1U_04      - ; 
F_D1U_01  FL  tfl      74  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D1U_01      - ; Dave's spreadsheet has f_d1u_02 and 03 listed? Don't exist?
F_D1L_04  FL  tfl      75  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D1L_04      - ; 
F_D1L_01  FL  tfl      76  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D1L_01      - ; 
F_D1L_03  FL  tfl      77  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D1L_03      - ; Removed, 11/15/22
F_D1L_02  FL  tfl      78  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_D1L_02      - ; Removed, 11/15/22
F_C_A01   FL  tfl      79  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A01       - ; Removed, per Dave Ryan's email, 11/09/20
F_C_B01   FL  tfl      80  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B01       - ; 
F_C_A02   FL  tfl      81  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A02       - ; 
F_C_B02   FL  tfl      82  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B02       - ; 
F_C_A03   FL  tfl      83  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A03       - ; This signal is missing after 41606. Taken out
F_C_B03   FL  tfl      84  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B03       - ; 
F_C_A04   FL  tfl      85  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A04       - ; 
F_C_B04   FL  tfl      86  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B04       - ; 
F_C_A05   FL  tfl      87  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A05       - ; 
F_C_B05   FL  tfl      88  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B05       - ; 
F_C_A06   FL  tfl      89  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A06       - ; 
F_C_B06   FL  tfl      90  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B06       - ; Removed, 11/15/22
F_C_A07   FL  tfl      91  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A07       - ; 
F_C_B07   FL  tfl      92  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B07       - ; 
F_C_A08   FL  tfl      93  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A08       - ; 
F_C_B08   FL  tfl      94  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B08       - ; 
F_C_A09   FL  tfl      95  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A09       - ; 
F_C_B09   FL  tfl      96  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B09       - ; 
F_C_A10   FL  tfl      97  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A10       - ; 
F_C_B10   FL  tfl      98  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B10       - ; 
F_C_A11   FL  tfl      99  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A11       - ; 
F_C_B11   FL  tfl     100  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B11       - ; 
F_C_A12   FL  tfl     101  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_A12       - ; Removed, per Dave Ryan's email, 11/09/20
F_C_B12   FL  tfl     102  -  y  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB/FLUX/F_C_B12       - ; 
;
; Loop voltages
;                                                                                                                   - ; (V) === loop voltage signals
VFCB05    VM  none      1  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_C_B05     - ; for VS1U
VFCB01    VM  none      2  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_C_B01     - ; for VS2U
VFD1U04   VM  none      3  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_D1U_04    - ; for VS3U and D1CU
VFD3U03   VM  none      4  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_D3U_03    - ; for VS4U
